Latitude (decimal degrees):	51.437
Longitude (decimal degrees):	7.120
Elevation (m):	110
Radiation database:	PVGIS-SARAH3


Slope: 36 deg. (optimum)
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20230102:1110,62.08,88.2,15.45,9.35,4.07,0.0
20230102:1210,103.2,134.7,15.23,9.16,3.66,0.0
20230102:1310,23.58,41.59,12.73,8.91,3.79,0.0
20230102:1410,41.98,64.08,8.18,8.76,3.59,0.0
20230102:1510,0.0,1.85,1.93,8.62,3.86,0.0
20230102:1610,0.0,0.0,0.0,8.24,3.93,0.0
20230102:1710,0.0,0.0,0.0,7.77,4.14,0.0
20230102:1810,0.0,0.0,0.0,7.57,4.34,0.0
20230102:1910,0.0,0.0,0.0,7.28,4.21,0.0
20230102:2010,0.0,0.0,0.0,7.01,4.0,0.0
20230102:2110,0.0,0.0,0.0,6.67,3.66,0.0
20230102:2210,0.0,0.0,0.0,6.58,3.59,0.0
20230102:2310,0.0,0.0,0.0,6.53,3.59,0.0
20230103:0010,0.0,0.0,0.0,6.42,3.38,0.0
20230103:0110,0.0,0.0,0.0,6.29,3.17,0.0
20230103:0210,0.0,0.0,0.0,6.05,2.9,0.0
20230103:0310,0.0,0.0,0.0,5.95,2.76,0.0
20230103:0410,0.0,0.0,0.0,5.84,2.62,0.0
20230103:0510,0.0,0.0,0.0,5.6,2.48,0.0
20230103:0610,0.0,0.0,0.0,5.02,2.55,0.0
20230103:0710,0.0,0.0,0.0,4.6,2.55,0.0
20230103:0810,62.13,87.79,3.24,4.82,2.9,0.0
20230103:0910,70.18,95.7,9.22,5.54,3.45,0.0
20230103:1010,110.9,141.41,13.43,6.44,4.41,0.0
20230103:1110,57.38,81.96,15.53,7.0,5.17,0.0
20230103:1210,34.85,55.45,15.33,7.66,5.1,0.0
20230103:1310,378.4,438.24,12.85,8.03,4.97,0.0
20230103:1410,253.14,300.36,8.3,8.12,4.14,0.0
20230103:1510,0.0,1.85,2.06,7.9,3.72,0.0
20230103:1610,0.0,0.0,0.0,7.34,3.59,0.0
20230103:1710,0.0,0.0,0.0,7.01,3.79,0.0
20230103:1810,0.0,0.0,0.0,6.81,4.28,0.0
20230103:1910,0.0,0.0,0.0,6.45,4.48,0.0
20230103:2010,0.0,0.0,0.0,6.42,4.9,0.0
20230103:2110,0.0,0.0,0.0,6.37,5.17,0.0
20230103:2210,0.0,0.0,0.0,6.49,5.45,0.0
20230103:2310,0.0,0.0,0.0,6.52,5.79,0.0
20230104:0010,0.0,0.0,0.0,6.84,6.14,0.0
20230104:0110,0.0,0.0,0.0,7.58,6.48,0.0
20230104:0210,0.0,0.0,0.0,7.66,6.55,0.0
20230104:0310,0.0,0.0,0.0,7.77,6.83,0.0
20230104:0410,0.0,0.0,0.0,8.04,7.17,0.0
20230104:0510,0.0,0.0,0.0,8.31,7.38,0.0
20230104:0610,0.0,0.0,0.0,8.54,7.38,0.0
20230104:0710,0.0,0.0,0.0,9.04,7.45,0.0
20230104:0810,16.03,31.87,3.28,9.39,7.45,0.0
20230104:0910,3.5,12.94,9.27,9.73,7.45,0.0
20230104:1010,41.27,63.77,13.5,10.07,7.52,0.0
20230104:1110,41.23,63.77,15.63,10.29,7.72,0.0
20230104:1210,24.84,43.44,15.44,10.55,7.72,0.0
20230104:1310,29.91,49.9,12.97,10.72,7.72,0.0
20230104:1410,8.62,21.26,8.44,10.78,7.66,0.0
20230104:1510,0.0,1.85,2.2,10.94,7.66,0.0
20230104:1610,0.0,0.0,0.0,10.94,7.72,0.0
20230104:1710,0.0,0.0,0.0,10.72,8.21,0.0
20230104:1810,0.0,0.0,0.0,10.31,8.21,0.0
20230104:1910,0.0,0.0,0.0,10.2,8.21,0.0
20230104:2010,0.0,0.0,0.0,9.89,7.45,0.0
20230104:2110,0.0,0.0,0.0,9.61,7.52,0.0
20230104:2210,0.0,0.0,0.0,9.41,7.17,0.0
20230104:2310,0.0,0.0,0.0,9.57,6.9,0.0
20230105:0010,0.0,0.0,0.0,9.37,6.62,0.0
20230105:0110,0.0,0.0,0.0,9.13,6.48,0.0
20230105:0210,0.0,0.0,0.0,8.85,6.41,0.0
20230105:0310,0.0,0.0,0.0,8.65,6.28,0.0
20230105:0410,0.0,0.0,0.0,8.54,6.07,0.0
20230105:0510,0.0,0.0,0.0,8.29,5.79,0.0
20230105:0610,0.0,0.0,0.0,8.33,5.59,0.0
20230105:0710,0.0,0.0,0.0,8.44,5.72,0.0
20230105:0810,2.02,10.17,3.33,8.49,5.45,0.0
20230105:0910,21.5,38.81,9.34,8.51,5.66,0.0
20230105:1010,17.97,34.19,13.59,8.66,5.66,0.0
20230105:1110,106.86,138.64,15.73,9.02,4.62,0.0
20230105:1210,147.92,184.05,15.56,9.27,4.9,0.0
20230105:1310,14.49,29.57,13.1,9.39,4.55,0.0
20230105:1410,45.25,68.13,8.58,9.32,4.28,0.0
20230105:1510,0.0,2.77,2.35,9.0,3.52,0.0
20230105:1610,0.0,0.0,0.0,8.51,3.1,0.0
20230105:1710,0.0,0.0,0.0,8.5,2.76,0.0
20230105:1810,0.0,0.0,0.0,8.6,2.69,0.0
20230105:1910,0.0,0.0,0.0,8.77,3.17,0.0
20230105:2010,0.0,0.0,0.0,8.9,3.59,0.0
20230105:2110,0.0,0.0,0.0,8.91,3.59,0.0
20230105:2210,0.0,0.0,0.0,9.15,3.52,0.0
20230105:2310,0.0,0.0,0.0,9.31,3.66,0.0
20230106:0010,0.0,0.0,0.0,9.35,3.86,0.0
20230106:0110,0.0,0.0,0.0,9.22,4.07,0.0
20230106:0210,0.0,0.0,0.0,9.13,4.21,0.0
20230106:0310,0.0,0.0,0.0,9.15,4.34,0.0
20230106:0410,0.0,0.0,0.0,9.08,4.62,0.0
20230106:0510,0.0,0.0,0.0,8.91,4.83,0.0
20230106:0610,0.0,0.0,0.0,8.63,5.03,0.0
20230106:0710,0.0,0.0,0.0,9.02,5.52,0.0
20230106:0810,106.24,140.42,3.38,9.1,5.79,0.0
20230106:0910,131.82,166.03,9.41,9.38,5.79,0.0
20230106:1010,11.2,24.95,13.68,9.56,5.59,0.0
20230106:1110,27.83,47.13,15.84,9.74,5.38,0.0
20230106:1210,19.24,36.04,15.68,9.9,5.45,0.0
20230106:1310,93.73,124.02,13.24,9.82,5.66,0.0
20230106:1410,2.98,12.01,8.72,9.69,5.03,0.0
20230106:1510,0.0,2.77,2.5,9.68,4.28,0.0
20230106:1610,0.0,0.0,0.0,9.45,4.14,0.0
20230106:1710,0.0,0.0,0.0,9.39,4.28,0.0
20230106:1810,0.0,0.0,0.0,9.33,4.0,0.0
20230106:1910,0.0,0.0,0.0,9.42,3.86,0.0
20230106:2010,0.0,0.0,0.0,9.45,4.07,0.0
20230106:2110,0.0,0.0,0.0,9.43,4.21,0.0
20230106:2210,0.0,0.0,0.0,9.47,4.28,0.0
20230106:2310,0.0,0.0,0.0,9.48,4.34,0.0
20230107:0010,0.0,0.0,0.0,9.34,4.34,0.0
20230107:0110,0.0,0.0,0.0,9.29,4.21,0.0
20230107:0210,0.0,0.0,0.0,9.2,4.0,0.0
20230107:0310,0.0,0.0,0.0,9.19,3.86,0.0
20230107:0410,0.0,0.0,0.0,8.88,3.93,0.0
20230107:0510,0.0,0.0,0.0,8.64,4.14,0.0
20230107:0610,0.0,0.0,0.0,8.47,4.28,0.0
20230107:0710,0.0,0.0,0.0,8.36,4.21,0.0
20230107:0810,17.72,34.04,3.44,8.34,4.21,0.0
20230107:0910,110.46,142.03,9.49,8.5,4.34,0.0
20230107:1010,140.07,175.27,13.77,9.26,4.69,0.0
20230107:1110,410.49,478.86,15.95,9.89,4.83,0.0
20230107:1210,83.59,113.31,15.82,10.45,4.41,0.0
20230107:1310,439.5,514.52,13.38,10.73,4.9,0.0
20230107:1410,207.08,251.02,8.87,10.71,5.45,0.0
20230107:1510,0.31,6.47,2.65,10.11,5.38,0.0
20230107:1610,0.0,0.0,0.0,9.43,5.52,0.0
20230107:1710,0.0,0.0,0.0,8.98,5.59,0.0
20230107:1810,0.0,0.0,0.0,9.02,5.66,0.0
20230107:1910,0.0,0.0,0.0,9.02,5.52,0.0
20230107:2010,0.0,0.0,0.0,8.97,5.38,0.0
20230107:2110,0.0,0.0,0.0,9.21,5.45,0.0
20230107:2210,0.0,0.0,0.0,9.65,5.66,0.0
20230107:2310,0.0,0.0,0.0,9.9,5.66,0.0
20230108:0010,0.0,0.0,0.0,9.97,5.38,0.0
20230108:0110,0.0,0.0,0.0,9.9,5.31,0.0
20230108:0210,0.0,0.0,0.0,9.72,5.1,0.0
20230108:0310,0.0,0.0,0.0,9.31,5.1,0.0
20230108:0410,0.0,0.0,0.0,8.7,5.03,0.0
20230108:0510,0.0,0.0,0.0,8.57,4.83,0.0
20230108:0610,0.0,0.0,0.0,8.36,4.76,0.0
20230108:0710,0.0,0.0,0.0,8.41,4.9,0.0
20230108:0810,124.68,161.34,3.51,8.32,4.07,0.0
20230108:0910,371.72,434.96,9.57,8.26,3.79,0.0
20230108:1010,343.59,400.94,13.88,8.69,4.34,0.0
20230108:1110,400.37,466.95,16.08,9.26,4.28,0.0
20230108:1210,39.81,61.92,15.96,9.45,4.41,0.0
20230108:1310,488.56,566.87,13.53,9.03,5.17,0.0
20230108:1410,347.07,405.8,9.03,8.91,5.52,0.0
20230108:1510,7.42,19.46,2.81,8.48,4.69,0.0
20230108:1610,0.0,0.0,0.0,7.49,3.79,0.0
20230108:1710,0.0,0.0,0.0,6.82,4.14,0.0
20230108:1810,0.0,0.0,0.0,6.66,4.41,0.0
20230108:1910,0.0,0.0,0.0,6.62,4.41,0.0
20230108:2010,0.0,0.0,0.0,6.62,4.55,0.0
20230108:2110,0.0,0.0,0.0,6.77,4.76,0.0
20230108:2210,0.0,0.0,0.0,7.18,5.17,0.0
20230108:2310,0.0,0.0,0.0,7.02,5.03,0.0
20230109:0010,0.0,0.0,0.0,7.25,5.17,0.0
20230109:0110,0.0,0.0,0.0,7.11,5.52,0.0
20230109:0210,0.0,0.0,0.0,6.8,5.03,0.0
20230109:0310,0.0,0.0,0.0,6.59,4.28,0.0
20230109:0410,0.0,0.0,0.0,5.88,4.0,0.0
20230109:0510,0.0,0.0,0.0,5.3,4.34,0.0
20230109:0610,0.0,0.0,0.0,5.22,4.83,0.0
20230109:0710,0.0,0.0,0.0,5.26,5.1,0.0
20230109:0810,24.35,42.32,3.58,5.61,5.52,0.0
20230109:0910,4.68,14.79,9.66,5.98,6.28,0.0
20230109:1010,10.1,23.1,13.99,6.39,6.07,0.0
20230109:1110,45.02,67.46,16.21,6.79,5.52,0.0
20230109:1210,37.3,58.22,16.1,6.84,5.93,0.0
20230109:1310,33.5,53.6,13.69,6.78,5.31,0.0
20230109:1410,8.83,21.26,9.19,6.46,5.72,0.0
20230109:1510,0.34,6.47,2.98,6.2,4.83,0.0
20230109:1610,0.0,0.0,0.0,5.6,3.93,0.0
20230109:1710,0.0,0.0,0.0,5.22,3.59,0.0
20230109:1810,0.0,0.0,0.0,4.87,3.59,0.0
20230109:1910,0.0,0.0,0.0,4.76,3.66,0.0
20230109:2010,0.0,0.0,0.0,4.82,3.79,0.0
20230109:2110,0.0,0.0,0.0,4.48,3.79,0.0
20230109:2210,0.0,0.0,0.0,4.16,3.79,0.0
20230109:2310,0.0,0.0,0.0,4.0,3.45,0.0
20230110:0010,0.0,0.0,0.0,3.97,3.66,0.0
20230110:0110,0.0,0.0,0.0,4.08,4.07,0.0
20230110:0210,0.0,0.0,0.0,3.91,4.07,0.0
20230110:0310,0.0,0.0,0.0,3.76,3.93,0.0
20230110:0410,0.0,0.0,0.0,3.63,3.86,0.0
20230110:0510,0.0,0.0,0.0,3.6,3.86,0.0
20230110:0610,0.0,0.0,0.0,3.27,3.72,0.0
20230110:0710,0.0,0.0,0.0,3.51,3.86,0.0
20230110:0810,11.07,24.33,3.66,3.36,3.93,0.0
20230110:0910,95.33,122.74,9.76,3.51,3.79,0.0
20230110:1010,337.78,386.29,14.11,4.25,4.62,0.0
20230110:1110,282.27,326.11,16.34,5.07,5.31,0.0
20230110:1210,86.94,114.78,16.26,5.61,5.38,0.0
20230110:1310,156.98,191.3,13.85,5.93,4.55,0.0
20230110:1410,54.38,77.88,9.36,6.12,4.97,0.0
20230110:1510,0.0,3.7,3.15,6.06,5.17,0.0
20230110:1610,0.0,0.0,0.0,5.94,5.38,0.0
20230110:1710,0.0,0.0,0.0,5.68,5.93,0.0
20230110:1810,0.0,0.0,0.0,5.61,6.69,0.0
20230110:1910,0.0,0.0,0.0,5.34,6.83,0.0
20230110:2010,0.0,0.0,0.0,5.61,6.9,0.0
20230110:2110,0.0,0.0,0.0,6.06,6.69,0.0
20230110:2210,0.0,0.0,0.0,6.63,6.48,0.0
20230110:2310,0.0,0.0,0.0,7.17,6.41,0.0
20230111:0010,0.0,0.0,0.0,7.79,6.55,0.0
20230111:0110,0.0,0.0,0.0,8.43,6.48,0.0
20230111:0210,0.0,0.0,0.0,9.0,6.41,0.0
20230111:0310,0.0,0.0,0.0,9.27,6.34,0.0
20230111:0410,0.0,0.0,0.0,9.71,6.34,0.0
20230111:0510,0.0,0.0,0.0,10.01,6.14,0.0
20230111:0610,0.0,0.0,0.0,10.05,5.66,0.0
20230111:0710,0.0,0.0,0.0,9.77,4.9,0.0
20230111:0810,0.32,6.47,3.75,9.6,4.62,0.0
20230111:0910,6.87,18.48,9.87,9.42,4.69,0.0
20230111:1010,37.64,59.15,14.23,8.96,4.83,0.0
20230111:1110,21.48,38.81,16.49,8.58,4.69,0.0
20230111:1210,241.42,287.02,16.42,8.82,4.28,0.0
20230111:1310,479.24,557.15,14.02,8.94,4.62,0.0
20230111:1410,178.83,217.73,9.54,8.7,4.97,0.0
20230111:1510,2.03,10.17,3.33,8.05,5.03,0.0
20230111:1610,0.0,0.0,0.0,7.43,4.55,0.0
20230111:1710,0.0,0.0,0.0,6.95,4.76,0.0
20230111:1810,0.0,0.0,0.0,6.97,5.24,0.0
20230111:1910,0.0,0.0,0.0,7.28,5.86,0.0
20230111:2010,0.0,0.0,0.0,7.32,6.21,0.0
20230111:2110,0.0,0.0,0.0,7.2,6.55,0.0
20230111:2210,0.0,0.0,0.0,7.16,7.45,0.0
20230111:2310,0.0,0.0,0.0,6.79,7.66,0.0
20230112:0010,0.0,0.0,0.0,6.88,7.31,0.0
20230112:0110,0.0,0.0,0.0,7.1,6.97,0.0
20230112:0210,0.0,0.0,0.0,7.36,6.97,0.0
20230112:0310,0.0,0.0,0.0,7.53,7.03,0.0
20230112:0410,0.0,0.0,0.0,7.54,7.24,0.0
20230112:0510,0.0,0.0,0.0,7.64,7.79,0.0
20230112:0610,0.0,0.0,0.0,7.72,8.21,0.0
20230112:0710,0.0,0.0,0.0,7.81,8.14,0.0
20230112:0810,0.33,6.47,3.85,8.0,8.14,0.0
20230112:0910,43.9,66.25,9.98,8.47,8.21,0.0
20230112:1010,66.45,92.78,14.37,8.79,8.28,0.0
20230112:1110,30.92,50.83,16.64,8.98,7.93,0.0
20230112:1210,95.56,125.87,16.58,9.13,7.93,0.0
20230112:1310,27.93,47.13,14.2,9.21,7.79,0.0
20230112:1410,93.91,123.63,9.72,9.24,7.45,0.0
20230112:1510,2.01,10.17,3.51,9.27,7.38,0.0
20230112:1610,0.0,0.0,0.0,9.3,7.38,0.0
20230112:1710,0.0,0.0,0.0,9.28,7.17,0.0
20230112:1810,0.0,0.0,0.0,9.28,7.24,0.0
20230112:1910,0.0,0.0,0.0,9.31,7.24,0.0
20230112:2010,0.0,0.0,0.0,9.37,7.17,0.0
20230112:2110,0.0,0.0,0.0,9.36,7.38,0.0
20230112:2210,0.0,0.0,0.0,9.34,6.97,0.0
20230112:2310,0.0,0.0,0.0,9.32,6.97,0.0
20230113:0010,0.0,0.0,0.0,9.25,7.45,0.0
20230113:0110,0.0,0.0,0.0,8.79,7.17,0.0
20230113:0210,0.0,0.0,0.0,8.38,6.9,0.0
20230113:0310,0.0,0.0,0.0,7.78,6.0,0.0
20230113:0410,0.0,0.0,0.0,7.33,5.79,0.0
20230113:0510,0.0,0.0,0.0,6.96,5.86,0.0
20230113:0610,0.0,0.0,0.0,7.04,6.07,0.0
20230113:0710,0.0,0.0,0.0,6.94,6.48,0.0
20230113:0810,10.48,23.78,3.95,6.86,6.55,0.0
20230113:0910,24.58,42.51,10.1,6.86,6.62,0.0
20230113:1010,74.05,100.9,14.51,7.29,6.97,0.0
20230113:1110,16.7,32.35,16.8,7.47,7.72,0.0
20230113:1210,87.47,116.21,16.76,7.62,6.97,0.0
20230113:1310,82.91,110.92,14.38,7.56,6.9,0.0
20230113:1410,382.65,440.28,9.91,7.45,7.79,0.0
20230113:1510,0.0,2.77,3.7,7.34,6.55,0.0
20230113:1610,0.0,0.0,0.0,6.83,5.86,0.0
20230113:1710,0.0,0.0,0.0,6.91,6.0,0.0
20230113:1810,0.0,0.0,0.0,6.7,6.14,0.0
20230113:1910,0.0,0.0,0.0,6.59,5.72,0.0
20230113:2010,0.0,0.0,0.0,6.49,5.66,0.0
20230113:2110,0.0,0.0,0.0,6.29,5.52,0.0
20230113:2210,0.0,0.0,0.0,6.09,5.45,0.0
20230113:2310,0.0,0.0,0.0,6.09,5.03,0.0
20230114:0010,0.0,0.0,0.0,6.0,4.9,0.0
20230114:0110,0.0,0.0,0.0,5.66,4.83,0.0
20230114:0210,0.0,0.0,0.0,5.42,4.69,0.0
20230114:0310,0.0,0.0,0.0,5.04,4.48,0.0
20230114:0410,0.0,0.0,0.0,4.87,4.21,0.0
20230114:0510,0.0,0.0,0.0,5.18,4.48,0.0
20230114:0610,0.0,0.0,0.0,5.77,4.55,0.0
20230114:0710,0.0,0.0,0.0,5.73,5.17,0.0
20230114:0810,1.59,9.24,4.06,6.11,5.66,0.0
20230114:0910,14.74,29.57,10.23,6.28,6.28,0.0
20230114:1010,44.23,66.54,14.66,6.95,6.83,0.0
20230114:1110,25.22,43.44,16.96,7.62,7.31,0.0
20230114:1210,22.27,39.74,16.94,8.08,7.86,0.0
20230114:1310,13.24,27.72,14.57,8.45,8.14,0.0
20230114:1410,11.25,24.95,10.1,8.76,8.07,0.0
20230114:1510,2.5,11.09,3.89,9.09,7.93,0.0
20230114:1610,0.0,0.0,0.0,9.48,7.93,0.0
20230114:1710,0.0,0.0,0.0,9.88,8.0,0.0
20230114:1810,0.0,0.0,0.0,10.23,8.14,0.0
20230114:1910,0.0,0.0,0.0,10.13,7.66,0.0
20230114:2010,0.0,0.0,0.0,10.18,7.03,0.0
20230114:2110,0.0,0.0,0.0,10.18,6.83,0.0
20230114:2210,0.0,0.0,0.0,9.44,6.48,0.0
20230114:2310,0.0,0.0,0.0,8.57,6.0,0.0
20230115:0010,0.0,0.0,0.0,7.71,6.0,0.0
20230115:0110,0.0,0.0,0.0,6.81,5.52,0.0
20230115:0210,0.0,0.0,0.0,6.1,5.45,0.0
20230115:0310,0.0,0.0,0.0,5.58,5.1,0.0
20230115:0410,0.0,0.0,0.0,5.27,5.17,0.0
20230115:0510,0.0,0.0,0.0,5.06,5.38,0.0
20230115:0610,0.0,0.0,0.0,4.92,5.86,0.0
20230115:0710,0.0,0.0,0.0,4.82,6.21,0.0
20230115:0810,1.16,8.32,4.17,4.7,6.62,0.0
20230115:0910,400.54,455.98,10.37,4.88,6.83,0.0
20230115:1010,337.54,385.2,14.81,5.31,7.31,0.0
20230115:1110,173.22,208.22,17.14,5.86,8.9,0.0
20230115:1210,26.91,45.28,17.12,6.04,8.9,0.0
20230115:1310,145.14,178.0,14.77,6.14,8.48,0.0
20230115:1410,14.78,29.57,10.3,5.87,8.07,0.0
20230115:1510,17.46,33.33,4.09,5.79,7.52,0.0
20230115:1610,0.0,0.0,0.0,5.29,7.31,0.0
20230115:1710,0.0,0.0,0.0,5.1,6.97,0.0
20230115:1810,0.0,0.0,0.0,4.95,6.69,0.0
20230115:1910,0.0,0.0,0.0,4.91,6.34,0.0
20230115:2010,0.0,0.0,0.0,4.7,5.66,0.0
20230115:2110,0.0,0.0,0.0,4.32,5.24,0.0
20230115:2210,0.0,0.0,0.0,4.12,5.03,0.0
20230115:2310,0.0,0.0,0.0,3.9,5.24,0.0
20230116:0010,0.0,0.0,0.0,3.47,5.38,0.0
20230116:0110,0.0,0.0,0.0,3.3,4.97,0.0
20230116:0210,0.0,0.0,0.0,3.36,4.69,0.0
20230116:0310,0.0,0.0,0.0,3.47,4.21,0.0
20230116:0410,0.0,0.0,0.0,3.17,3.79,0.0
20230116:0510,0.0,0.0,0.0,3.33,4.21,0.0
20230116:0610,0.0,0.0,0.0,3.76,4.9,0.0
20230116:0710,0.0,0.0,0.0,3.98,5.52,0.0
20230116:0810,18.69,34.71,4.3,3.99,6.14,0.0
20230116:0910,27.96,46.21,10.51,3.75,6.9,0.0
20230116:1010,129.62,159.52,14.97,3.27,7.45,0.0
20230116:1110,146.5,177.93,17.32,3.3,7.17,0.0
20230116:1210,30.23,48.98,17.32,3.68,7.45,0.0
20230116:1310,19.83,36.04,14.97,4.14,5.45,0.0
20230116:1410,116.94,146.52,10.5,4.41,6.41,0.0
20230116:1510,30.09,49.22,4.29,4.11,5.86,0.0
20230116:1610,0.0,0.0,0.0,3.63,5.1,0.0
20230116:1710,0.0,0.0,0.0,3.35,4.41,0.0
20230116:1810,0.0,0.0,0.0,2.93,3.72,0.0
20230116:1910,0.0,0.0,0.0,3.13,3.79,0.0
20230116:2010,0.0,0.0,0.0,3.25,4.41,0.0
20230116:2110,0.0,0.0,0.0,2.98,5.17,0.0
20230116:2210,0.0,0.0,0.0,2.51,6.14,0.0
20230116:2310,0.0,0.0,0.0,2.37,5.86,0.0
20230117:0010,0.0,0.0,0.0,2.2,6.41,0.0
20230117:0110,0.0,0.0,0.0,1.93,6.28,0.0
20230117:0210,0.0,0.0,0.0,1.41,5.72,0.0
20230117:0310,0.0,0.0,0.0,1.13,5.93,0.0
20230117:0410,0.0,0.0,0.0,0.82,5.17,0.0
20230117:0510,0.0,0.0,0.0,0.39,4.48,0.0
20230117:0610,0.0,0.0,0.0,-0.11,3.72,0.0
20230117:0710,0.0,0.0,0.0,0.04,3.45,0.0
20230117:0810,84.79,111.41,4.42,-0.37,2.97,0.0
20230117:0910,112.18,139.27,10.66,-0.06,3.45,0.0
20230117:1010,544.57,615.99,15.14,0.81,3.31,0.0
20230117:1110,610.06,699.37,17.5,1.68,2.76,0.0
20230117:1210,569.18,653.38,17.52,2.24,2.55,0.0
20230117:1310,518.34,595.67,15.18,2.53,2.21,0.0
20230117:1410,395.02,454.68,10.71,2.49,1.93,0.0
20230117:1510,162.46,200.21,4.5,2.28,1.52,0.0
20230117:1610,0.0,0.0,0.0,1.45,0.76,0.0
20230117:1710,0.0,0.0,0.0,1.18,0.07,0.0
20230117:1810,0.0,0.0,0.0,0.52,0.07,0.0
20230117:1910,0.0,0.0,0.0,0.13,0.62,0.0
20230117:2010,0.0,0.0,0.0,-0.19,0.62,0.0
20230117:2110,0.0,0.0,0.0,-0.44,0.69,0.0
20230117:2210,0.0,0.0,0.0,-0.76,0.9,0.0
20230117:2310,0.0,0.0,0.0,-1.24,0.97,0.0
20230118:0010,0.0,0.0,0.0,-1.16,0.76,0.0
20230118:0110,0.0,0.0,0.0,-1.08,0.41,0.0
20230118:0210,0.0,0.0,0.0,-1.08,0.48,0.0
20230118:0310,0.0,0.0,0.0,-1.13,0.62,0.0
20230118:0410,0.0,0.0,0.0,-1.13,0.48,0.0
20230118:0510,0.0,0.0,0.0,-1.14,0.55,0.0
20230118:0610,0.0,0.0,0.0,-3.03,1.31,0.0
20230118:0710,0.0,0.0,0.0,-3.5,1.79,0.0
20230118:0810,198.47,235.03,4.56,-3.07,1.93,0.0
20230118:0910,431.45,487.77,10.81,-1.67,1.86,0.0
20230118:1010,544.68,618.78,15.31,-0.02,2.34,0.0
20230118:1110,626.21,717.98,17.7,1.21,2.69,0.0
20230118:1210,625.61,717.49,17.72,1.98,3.03,0.0
20230118:1310,595.36,680.88,15.39,2.34,3.31,0.0
20230118:1410,420.41,479.15,10.93,2.18,3.24,0.0
20230118:1510,185.48,223.87,4.71,1.33,3.24,0.0
20230118:1610,0.0,0.0,0.0,0.03,3.38,0.0
20230118:1710,0.0,0.0,0.0,-0.67,3.59,0.0
20230118:1810,0.0,0.0,0.0,-0.99,3.72,0.0
20230118:1910,0.0,0.0,0.0,-0.64,4.14,0.0
20230118:2010,0.0,0.0,0.0,-0.51,4.21,0.0
20230118:2110,0.0,0.0,0.0,-0.28,4.34,0.0
20230118:2210,0.0,0.0,0.0,-0.41,4.41,0.0
20230118:2310,0.0,0.0,0.0,-0.44,4.48,0.0
20230119:0010,0.0,0.0,0.0,-0.38,4.55,0.0
20230119:0110,0.0,0.0,0.0,-0.47,4.55,0.0
20230119:0210,0.0,0.0,0.0,-0.36,4.62,0.0
20230119:0310,0.0,0.0,0.0,-0.22,4.69,0.0
20230119:0410,0.0,0.0,0.0,-0.26,4.76,0.0
20230119:0510,0.0,0.0,0.0,-0.05,4.76,0.0
20230119:0610,0.0,0.0,0.0,-0.01,4.55,0.0
20230119:0710,0.0,0.0,0.0,-0.05,4.76,0.0
