Latitude (decimal degrees):	52.497
Longitude (decimal degrees):	13.334
Elevation (m):	44
Radiation database:	PVGIS-SARAH3


Slope: 37 deg. (optimum)
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	1000.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20230108:0411,0.0,0.0,0.0,5.62,2.83,0.0
20230108:0511,0.0,0.0,0.0,6.14,2.83,0.0
20230108:0611,0.0,0.0,0.0,6.19,2.83,0.0
20230108:0711,0.0,0.0,0.0,7.09,3.17,0.0
20230108:0811,2010.0,10.1,5.42,7.19,3.1,0.0
20230108:0911,21430.0,38.58,10.66,7.29,3.03,0.0
20230108:1011,23540.0,41.33,14.04,7.59,3.38,0.0
20230108:1111,126620.0,159.61,15.25,7.51,3.52,0.0
20230108:1211,39840.0,61.54,14.19,7.61,3.31,0.0
20230108:1311,10540.0,23.88,10.96,7.97,3.24,0.0
20230108:1411,6250.0,17.45,5.83,8.27,3.03,0.0
20230108:1511,0.0,0.0,0.0,7.97,2.97,0.0
20230108:1611,0.0,0.0,0.0,7.71,2.97,0.0
20230108:1711,0.0,0.0,0.0,7.68,3.1,0.0
20230108:1811,0.0,0.0,0.0,7.46,3.17,0.0
20230108:1911,0.0,0.0,0.0,6.84,2.97,0.0
20230108:2011,0.0,0.0,0.0,6.43,3.1,0.0
20230108:2111,0.0,0.0,0.0,6.01,3.17,0.0
20230108:2211,0.0,0.0,0.0,5.74,3.1,0.0
20230108:2311,0.0,0.0,0.0,5.38,2.83,0.0
20230109:0011,0.0,0.0,0.0,4.97,2.55,0.0
20230109:0111,0.0,0.0,0.0,4.55,2.76,0.0
20230109:0211,0.0,0.0,0.0,4.48,3.03,0.0
20230109:0311,0.0,0.0,0.0,4.65,2.97,0.0
20230109:0411,0.0,0.0,0.0,4.71,2.76,0.0
20230109:0511,0.0,0.0,0.0,4.74,2.62,0.0
20230109:0611,0.0,0.0,0.0,4.74,2.76,0.0
20230109:0711,0.0,0.0,0.0,5.5,3.24,0.0
20230109:0811,18030.0,33.89,5.5,5.83,3.31,0.0
20230109:0911,99250.0,128.32,10.76,6.19,3.24,0.0
20230109:1011,42270.0,64.29,14.16,6.87,2.97,0.0
20230109:1111,56840.0,81.59,15.39,7.59,3.59,0.0
20230109:1211,250910.0,296.0,14.34,7.69,3.86,0.0
20230109:1311,280680.0,329.69,11.12,7.7,3.45,0.0
20230109:1411,9940.0,22.96,6.0,7.48,2.83,0.0
20230109:1511,0.0,0.0,0.0,6.67,2.48,0.0
20230109:1611,0.0,0.0,0.0,5.99,2.34,0.0
20230109:1711,0.0,0.0,0.0,4.94,2.48,0.0
20230109:1811,0.0,0.0,0.0,4.42,2.62,0.0
20230109:1911,0.0,0.0,0.0,4.48,2.76,0.0
20230109:2011,0.0,0.0,0.0,4.34,2.83,0.0
20230109:2111,0.0,0.0,0.0,4.07,2.76,0.0
20230109:2211,0.0,0.0,0.0,3.79,2.76,0.0
20230109:2311,0.0,0.0,0.0,4.44,2.9,0.0
20230110:0011,0.0,0.0,0.0,5.19,3.17,0.0
20230110:0111,0.0,0.0,0.0,5.79,3.38,0.0
20230110:0211,0.0,0.0,0.0,5.97,3.52,0.0
20230110:0311,0.0,0.0,0.0,5.88,3.45,0.0
20230110:0411,0.0,0.0,0.0,5.53,3.31,0.0
20230110:0511,0.0,0.0,0.0,5.46,3.31,0.0
20230110:0611,0.0,0.0,0.0,5.33,3.24,0.0
20230110:0711,0.0,0.0,0.0,5.26,3.03,0.0
20230110:0811,48870.0,71.45,5.59,5.38,2.9,0.0
20230110:0911,118770.0,149.59,10.87,5.7,3.1,0.0
20230110:1011,97650.0,126.85,14.28,6.05,3.17,0.0
20230110:1111,156720.0,191.52,15.53,6.47,4.55,0.0
20230110:1211,174240.0,210.95,14.5,6.89,4.14,0.0
20230110:1311,57590.0,82.02,11.29,6.99,2.55,0.0
20230110:1411,84140.0,112.22,6.17,6.9,3.17,0.0
20230110:1511,0.0,0.0,0.0,6.64,2.9,0.0
20230110:1611,0.0,0.0,0.0,6.3,2.55,0.0
20230110:1711,0.0,0.0,0.0,6.12,2.41,0.0
20230110:1811,0.0,0.0,0.0,5.93,2.41,0.0
20230110:1911,0.0,0.0,0.0,4.84,2.9,0.0
20230110:2011,0.0,0.0,0.0,4.67,3.31,0.0
20230110:2111,0.0,0.0,0.0,4.13,3.45,0.0
20230110:2211,0.0,0.0,0.0,3.75,3.66,0.0
20230110:2311,0.0,0.0,0.0,3.73,3.93,0.0
20230111:0011,0.0,0.0,0.0,3.9,4.14,0.0
20230111:0111,0.0,0.0,0.0,4.01,4.28,0.0
20230111:0211,0.0,0.0,0.0,4.21,4.48,0.0
20230111:0311,0.0,0.0,0.0,4.59,4.62,0.0
20230111:0411,0.0,0.0,0.0,5.02,4.48,0.0
20230111:0511,0.0,0.0,0.0,5.48,4.34,0.0
20230111:0611,0.0,0.0,0.0,6.05,4.28,0.0
20230111:0711,0.0,0.0,0.0,5.92,4.34,0.0
20230111:0811,8130.0,20.21,5.69,6.44,4.34,0.0
20230111:0911,27260.0,45.92,10.99,6.95,4.28,0.0
20230111:1011,53070.0,77.09,14.42,7.44,4.14,0.0
20230111:1111,83820.0,112.41,15.69,7.91,3.86,0.0
20230111:1211,40500.0,62.46,14.67,8.17,3.66,0.0
20230111:1311,32180.0,52.35,11.46,8.47,3.52,0.0
20230111:1411,5660.0,16.53,6.34,8.64,3.38,0.0
20230111:1511,0.0,0.0,0.0,8.84,3.59,0.0
20230111:1611,0.0,0.0,0.0,9.01,4.0,0.0
20230111:1711,0.0,0.0,0.0,8.98,4.0,0.0
20230111:1811,0.0,0.0,0.0,8.71,4.0,0.0
20230111:1911,0.0,0.0,0.0,7.98,3.45,0.0
20230111:2011,0.0,0.0,0.0,7.41,3.45,0.0
20230111:2111,0.0,0.0,0.0,7.01,3.52,0.0
20230111:2211,0.0,0.0,0.0,6.55,3.38,0.0
20230111:2311,0.0,0.0,0.0,6.2,3.52,0.0
20230112:0011,0.0,0.0,0.0,5.83,3.86,0.0
20230112:0111,0.0,0.0,0.0,5.55,4.34,0.0
20230112:0211,0.0,0.0,0.0,5.56,4.97,0.0
20230112:0311,0.0,0.0,0.0,5.85,5.38,0.0
20230112:0411,0.0,0.0,0.0,6.05,5.31,0.0
20230112:0511,0.0,0.0,0.0,6.33,5.03,0.0
20230112:0611,0.0,0.0,0.0,6.65,4.83,0.0
20230112:0711,0.0,0.0,0.0,6.98,5.1,0.0
20230112:0811,9960.0,22.96,5.79,7.1,5.24,0.0
20230112:0911,13160.0,27.55,11.11,7.72,5.66,0.0
20230112:1011,32250.0,52.35,14.56,8.31,6.28,0.0
20230112:1111,19200.0,35.82,15.84,8.72,6.69,0.0
20230112:1211,51240.0,75.16,14.84,8.52,6.69,0.0
20230112:1311,17830.0,33.98,11.64,8.53,6.62,0.0
20230112:1411,187120.0,227.39,6.53,8.69,6.28,0.0
20230112:1511,0.0,0.0,0.0,8.98,5.93,0.0
20230112:1611,0.0,0.0,0.0,9.21,5.66,0.0
20230112:1711,0.0,0.0,0.0,9.41,5.59,0.0
20230112:1811,0.0,0.0,0.0,9.6,5.59,0.0
20230112:1911,0.0,0.0,0.0,9.65,5.66,0.0
20230112:2011,0.0,0.0,0.0,9.64,5.72,0.0
20230112:2111,0.0,0.0,0.0,9.28,5.52,0.0
20230112:2211,0.0,0.0,0.0,9.23,5.66,0.0
20230112:2311,0.0,0.0,0.0,9.31,6.07,0.0
20230113:0011,0.0,0.0,0.0,9.34,6.0,0.0
20230113:0111,0.0,0.0,0.0,9.33,5.66,0.0
20230113:0211,0.0,0.0,0.0,9.43,5.45,0.0
20230113:0311,0.0,0.0,0.0,9.49,5.1,0.0
20230113:0411,0.0,0.0,0.0,9.34,4.83,0.0
20230113:0511,0.0,0.0,0.0,9.18,4.83,0.0
20230113:0611,0.0,0.0,0.0,8.82,4.62,0.0
20230113:0711,0.0,0.0,0.0,8.92,3.93,0.0
20230113:0811,88140.0,117.77,5.91,8.79,3.59,0.0
20230113:0911,6810.0,18.37,11.24,9.08,3.79,0.0
20230113:1011,520320.0,608.07,14.71,9.1,3.93,0.0
20230113:1111,415810.0,484.84,16.01,9.23,4.14,0.0
20230113:1211,416660.0,485.48,15.01,9.65,4.69,0.0
20230113:1311,179370.0,218.47,11.82,9.56,5.17,0.0
20230113:1411,136150.0,171.41,6.71,9.11,4.76,0.0
20230113:1511,0.0,0.0,0.0,8.3,4.62,0.0
20230113:1611,0.0,0.0,0.0,7.62,4.69,0.0
20230113:1711,0.0,0.0,0.0,7.21,4.9,0.0
20230113:1811,0.0,0.0,0.0,7.12,5.24,0.0
20230113:1911,0.0,0.0,0.0,6.78,5.31,0.0
20230113:2011,0.0,0.0,0.0,6.81,5.45,0.0
20230113:2111,0.0,0.0,0.0,6.8,5.59,0.0
20230113:2211,0.0,0.0,0.0,6.68,5.72,0.0
20230113:2311,0.0,0.0,0.0,6.63,5.79,0.0
20230114:0011,0.0,0.0,0.0,6.82,5.72,0.0
20230114:0111,0.0,0.0,0.0,7.06,5.59,0.0
20230114:0211,0.0,0.0,0.0,6.9,5.24,0.0
20230114:0311,0.0,0.0,0.0,6.77,5.03,0.0
20230114:0411,0.0,0.0,0.0,6.88,4.97,0.0
20230114:0511,0.0,0.0,0.0,7.04,4.83,0.0
20230114:0611,0.0,0.0,0.0,7.0,4.55,0.0
20230114:0711,0.0,0.0,0.0,7.05,4.34,0.0
20230114:0811,48700.0,71.69,6.02,7.12,4.07,0.0
20230114:0911,220500.0,262.08,11.38,7.3,4.0,0.0
20230114:1011,217490.0,259.37,14.87,7.71,3.79,0.0
20230114:1111,554610.0,642.19,16.18,7.73,4.62,0.0
20230114:1211,113170.0,144.68,15.2,7.65,4.76,0.0
20230114:1311,43270.0,65.46,12.01,7.43,4.55,0.0
20230114:1411,6880.0,18.37,6.91,7.23,4.83,0.0
20230114:1511,0.0,0.0,0.0,6.87,5.17,0.0
20230114:1611,0.0,0.0,0.0,6.61,5.38,0.0
20230114:1711,0.0,0.0,0.0,6.87,5.79,0.0
20230114:1811,0.0,0.0,0.0,7.2,6.48,0.0
20230114:1911,0.0,0.0,0.0,7.41,6.41,0.0
20230114:2011,0.0,0.0,0.0,7.64,6.41,0.0
20230114:2111,0.0,0.0,0.0,8.0,6.48,0.0
20230114:2211,0.0,0.0,0.0,8.35,6.69,0.0
20230114:2311,0.0,0.0,0.0,8.7,6.62,0.0
20230115:0011,0.0,0.0,0.0,9.09,6.41,0.0
20230115:0111,0.0,0.0,0.0,9.47,6.07,0.0
20230115:0211,0.0,0.0,0.0,9.83,5.66,0.0
20230115:0311,0.0,0.0,0.0,9.72,5.45,0.0
20230115:0411,0.0,0.0,0.0,9.73,5.24,0.0
20230115:0511,0.0,0.0,0.0,9.08,5.17,0.0
20230115:0611,0.0,0.0,0.0,7.56,4.48,0.0
20230115:0711,0.0,0.0,0.0,6.95,3.31,0.0
20230115:0811,24270.0,42.01,6.15,6.55,3.52,0.0
20230115:0911,37330.0,58.13,11.52,6.53,3.93,0.0
20230115:1011,111930.0,142.85,15.03,6.85,4.55,0.0
20230115:1111,153890.0,189.08,16.36,7.23,4.83,0.0
20230115:1211,104470.0,135.02,15.39,7.72,5.59,0.0
20230115:1311,189180.0,227.07,12.21,7.61,6.21,0.0
20230115:1411,249210.0,294.63,7.11,7.37,6.07,0.0
20230115:1511,0.0,0.0,0.0,6.85,5.72,0.0
20230115:1611,0.0,0.0,0.0,6.24,5.72,0.0
20230115:1711,0.0,0.0,0.0,5.88,5.93,0.0
20230115:1811,0.0,0.0,0.0,5.66,6.0,0.0
20230115:1911,0.0,0.0,0.0,5.51,6.69,0.0
20230115:2011,0.0,0.0,0.0,5.38,6.41,0.0
20230115:2111,0.0,0.0,0.0,5.31,5.93,0.0
20230115:2211,0.0,0.0,0.0,5.36,5.72,0.0
20230115:2311,0.0,0.0,0.0,5.06,5.38,0.0
20230116:0011,0.0,0.0,0.0,4.63,4.83,0.0
20230116:0111,0.0,0.0,0.0,4.31,4.28,0.0
20230116:0211,0.0,0.0,0.0,4.02,4.0,0.0
20230116:0311,0.0,0.0,0.0,3.93,3.72,0.0
20230116:0411,0.0,0.0,0.0,3.81,3.45,0.0
20230116:0511,0.0,0.0,0.0,3.49,3.31,0.0
20230116:0611,0.0,0.0,0.0,3.36,3.38,0.0
20230116:0711,0.0,0.0,0.0,2.71,3.59,0.0
20230116:0811,243540.0,285.14,6.28,2.79,3.79,0.0
20230116:0911,422610.0,481.56,11.68,3.6,3.86,0.0
20230116:1011,367820.0,422.59,15.2,4.71,3.31,0.0
20230116:1111,636590.0,740.35,16.55,5.56,3.45,0.0
20230116:1211,517420.0,597.79,15.59,6.27,3.66,0.0
20230116:1311,467560.0,540.3,12.41,6.47,3.66,0.0
20230116:1411,127010.0,159.27,7.31,6.05,3.93,0.0
20230116:1511,0.0,0.0,0.0,5.35,4.21,0.0
20230116:1611,0.0,0.0,0.0,4.69,4.41,0.0
20230116:1711,0.0,0.0,0.0,4.34,4.55,0.0
20230116:1811,0.0,0.0,0.0,4.14,4.69,0.0
20230116:1911,0.0,0.0,0.0,4.2,4.69,0.0
20230116:2011,0.0,0.0,0.0,4.09,4.55,0.0
20230116:2111,0.0,0.0,0.0,3.74,4.48,0.0
20230116:2211,0.0,0.0,0.0,3.83,4.55,0.0
20230116:2311,0.0,0.0,0.0,3.67,4.48,0.0
20230117:0011,0.0,0.0,0.0,3.45,4.28,0.0
20230117:0111,0.0,0.0,0.0,3.19,4.07,0.0
20230117:0211,0.0,0.0,0.0,3.66,4.0,0.0
20230117:0311,0.0,0.0,0.0,4.2,4.14,0.0
20230117:0411,0.0,0.0,0.0,4.35,4.41,0.0
20230117:0511,0.0,0.0,0.0,4.07,4.83,0.0
20230117:0611,0.0,0.0,0.0,3.83,5.03,0.0
20230117:0711,0.0,0.0,0.0,3.85,5.1,0.0
20230117:0811,33620.0,53.0,6.42,3.76,5.03,0.0
20230117:0911,252440.0,292.24,11.83,3.96,5.24,0.0
20230117:1011,46080.0,67.97,15.38,4.0,5.66,0.0
20230117:1111,32980.0,52.35,16.74,3.8,5.66,0.0
20230117:1211,384310.0,436.71,15.79,3.6,4.48,0.0
20230117:1311,65360.0,89.82,12.62,3.83,4.0,0.0
20230117:1411,58210.0,81.57,7.52,3.69,3.45,0.0
20230117:1511,0.0,0.0,0.0,3.29,2.76,0.0
20230117:1611,0.0,0.0,0.0,2.31,2.28,0.0
20230117:1711,0.0,0.0,0.0,1.68,2.07,0.0
20230117:1811,0.0,0.0,0.0,0.52,1.86,0.0
20230117:1911,0.0,0.0,0.0,-0.88,1.86,0.0
20230117:2011,0.0,0.0,0.0,-0.53,1.38,0.0
20230117:2111,0.0,0.0,0.0,-0.99,1.45,0.0
20230117:2211,0.0,0.0,0.0,-1.87,1.59,0.0
20230117:2311,0.0,0.0,0.0,-1.19,1.24,0.0
20230118:0011,0.0,0.0,0.0,-1.79,1.31,0.0
20230118:0111,0.0,0.0,0.0,-2.84,1.59,0.0
20230118:0211,0.0,0.0,0.0,-2.92,1.45,0.0
20230118:0311,0.0,0.0,0.0,-2.72,1.38,0.0
20230118:0411,0.0,0.0,0.0,-2.32,1.38,0.0
20230118:0511,0.0,0.0,0.0,-2.01,1.72,0.0
20230118:0611,0.0,0.0,0.0,-1.66,1.66,0.0
20230118:0711,0.0,0.0,0.0,-1.76,1.79,0.0
20230118:0811,57370.0,79.26,6.57,-1.47,1.59,0.0
20230118:0911,190030.0,222.77,12.0,-0.56,1.45,0.0
20230118:1011,63510.0,87.0,15.56,0.36,1.66,0.0
20230118:1111,77740.0,103.08,16.94,0.89,1.79,0.0
20230118:1211,64050.0,87.87,16.0,1.21,2.0,0.0
20230118:1311,73530.0,98.15,12.84,1.11,1.79,0.0
20230118:1411,13630.0,27.55,7.73,0.99,1.79,0.0
20230118:1511,0.0,0.0,0.0,0.46,1.66,0.0
20230118:1611,0.0,0.0,0.0,-0.09,1.52,0.0
20230118:1711,0.0,0.0,0.0,-0.76,1.31,0.0
20230118:1811,0.0,0.0,0.0,-1.31,1.31,0.0
20230118:1911,0.0,0.0,0.0,-0.82,1.1,0.0
20230118:2011,0.0,0.0,0.0,-1.34,1.66,0.0
20230118:2111,0.0,0.0,0.0,-2.21,1.93,0.0
20230118:2211,0.0,0.0,0.0,-2.92,2.07,0.0
20230118:2311,0.0,0.0,0.0,-3.56,2.21,0.0
20230119:0011,0.0,0.0,0.0,-3.82,2.34,0.0
20230119:0111,0.0,0.0,0.0,-3.88,2.41,0.0
20230119:0211,0.0,0.0,0.0,-3.88,2.55,0.0
20230119:0311,0.0,0.0,0.0,-3.89,2.62,0.0
